Mot;Abréviation;Définition
SOÛLER,;V., a.;V.  a.  Rassasier,  satisfaire  la  faim  ou  la  soif  jusqu'à  la  satiété  :
SOUNER,;V., a., Morv., n.;a.  Sonner,  agiter  une  cloche,  don-  ner un  son  en  général.  Morv.  n.  La  région  bourg.  prononce  son-ner.
SODNOU,;s., m.;s.  m.  Sonneur,  celui  qui  sonne  :  «  ain  sounou  »  de  cloches.
SOURCER,;V., n.;V.  n.  Sourdre,  jaillir  du  sol,  couler  à  fleur  de  terre  :  Tout  ausi  comme  on  les  puisast  en  une  fontaine  l'i
SOURINE,;s., f.;"s.  f.  Neige  très  fine  et  sèche  qui  est  chassée  par  le  vent  du  nord.  La  «  sourine  »  aveugle  les  voyageurs  et  entrave  leur  marche.  En  Forez  «  siora  »  désigne  la  pluie  mêlée  de  neige,  une  giboulée  ;  le  verbe  «  siôrà  »  signifie  neiger  très  fin."
SOURIVÉE,;s., f.;s.  f.  Terre  située  sous  le  bord  infé-  rieur d'un  talus,  d'une  éminence  :  la  «  sourivée  »  d'un  champ,  d'un  sillon.  Notre  mot  est  un  subst.  partie,  tiré  de  river.  (Voy.  Rive,  Rivoler.)
SOUTIN,;s., m.;s.  m.  Soutien ,  appui ,  protecteur.  S'emploie  au  propre  et  au  fig.  Avoir  un  bon  «  sou-  tin  »  est  une  grande  force  pour  les  hommes  et  pour  les  choses.
SOUTRAI,;s., m.;SÔTRAI,  s.  m.  Paille  ou  foin  de  rebut  et  quelquef.  fagots,  branchages  qu'on  étend  dans  la  grange  où  l'on  dépose  les  récoltes  de  l'année.  Le  «  soutr'ai  »  est  à  proprement  parler  la  couche  sur  laquelle  on  construit  la  meule  ou  «  teiche  »  de  gerbes.  On  se  défend  ainsi  de  l'humi-  dité qui  pourrait  endommager  le  gerbier.  Se  dit  aussi  en  général  dans  le  sens  de  base,  lieu  de  dépôt.  Le  bas  1.  subtrabes  qui  signifiait  littéra-  lement sous-poutres,  sous-solives,  sous-travées,  a  été  par  extension  usité  pour  amas,  monceau  de  foin,  parce  que  les  propriétaires  de  prairies  avaient  des  granges  ou  loges  où  ils  entassaient  leurs  ré-  coltes. Ce  terme  ou  son  équivalent  sostres  désignait  tantôt  le  logement  des  fourrages,  tantôt  les  four-  rages mêmes  :
SÔVENANCE,;s., f.;s.  f.  Souvenir  :  «  i  n'en  é  poin  d'  sov'nance  »,  je  ne  m'en  souviens  pas.  Ce  vieux  mot,  à  peu  près  hors  d'usage  en  fr,,  a  cependant  conservé  quelque  notoriété  grâce  à  la  célèbre  romance  de  Chateaubriand  :
S'REUMENT,;adv., Saint.;adv.  Seulement.  Poitou,  Saint.  «  srement.  »
SU,;fr.; interjection.  Sus,  debout  !  Ne  s'emploie  plus  en  fr.  que  pour  exciter,  comme  dans  Corneille  :  Sus  donc,  qui  vous  retient  ?  Ou  dans  Molière  :  Sus  donc,  préparez  vos  jambes  à  bien  faire.  Chez  nous,  sus  ou  su  par  la  chute  de  l'r,  signifie  expres-  sément debout.  Les  charretiers,  les  bouviers  font  usage  de  ce  terme  pour  forcer  leurs  animaux  à  se  lever  dans  les  étables  ou  dans  les  prés  oij  ils  sont  couchés  :  a  Su,  sii  don  !  »
SU,;prép., loc.;prép.  Sur.  On  prononce  «  su  »  ou  «  chu  »,  suivant  les  lieux.  Sus  est  pour  sur  dans  des  noms  de  loc.  :  Chastillon-Sus-Soigne  ^  Châtillon-sur-  Seine.  (Ch.  B.  p.  329.)  L'anc.  langue  a  dit  courir  sus  et  courir  seur  ou  sor,  poursuivre  quelqu'un  avec  ardeur  :
SUI,;s., m.;"s.  m.  Suif.  Environs  de  Château-Chinon  :  «  chi.  >i  Fr.-Comté  (Fourgs)  :  «  su  »  ;  —  Flandre:  «  sieu  »  ;  —  Guernesoy  :  «  sif.  »"
SUÏER,;V., a., fr.; a.  Siffler.  Notre  forme  contracte  la  variante  «  subler  »  qui  est  usitée  en  Bourg.,  en  Norm.,  en  Poitou,  en  Suisse  et  ailleurs  encore.  Il  y  a  chute  du  b  et  adoucissement  de  la  linguale  qui  se  mouille  en  i.  Notre  subst.  «  sulot  »  est  écrit  «  sublô  »  dans  les  noëls  de  la  Monnaye  et  «  sullô  »  dans  d'autres  textes  bourguignons.  L'i  se  substitue  également  à  la  linguale  dans  le  Jura  où  «  subier  »  =  siffler  et  «  subiot  »  ou  «  sibiol  «  =  sifflet,  dans  le  H.  Maine  où  on  emploie  «  seu-  bier  »  comme  verbe,  et  «  sibiet  »  comme  substan-  tif. Le  vi.  fr.  avait  les  variétés  subler  et  suller.  La  première  est  dans  Noël  du  Fail  :
SUÎTRE,;V., a., Pic.; a.  Suivre.  Une  partie  de  la  région  prononce  «  chuitre.  »  A  Guernesey,  par  la  chute  du  t  médial,  «  sière.  »  Fr.-Comté,  Pic.  «  suire.  »  H.  Maine  :  «  suir.  »  (Voy.  Chuitre.)
SÛLER,;V., a., Morv., n., fr., anc., fréquent., rad., rad.; aspirant,  humer.  Morv.  n.  «  chùler.  »  Le  mot  est  identique  à  «  suïer  »  avec  une  modification  de  sens  qui  l'assimile  au  fr.  super  équivalent  de  l'anglais  to  sup,  humer,  boire  par  gorgées,  et  du  flamand  siujpen  dont  la  signifie,  est  la  même.  M.  Littré  dérive  ce  dernier  mot  de  l'anglo-saxon  sipan,  et  Scheler  le  rattache  à  souper  =  bibere,  mais  ne  pourrait-il  être  une  anc.  forme  également  tirée  par  contraction  de  sibilare  avec  changement  du  b  en  p.  Si  l'anglais  a  to  sip  =  to  sup  nous  avons  «  schiler  =  chuler  »  ou  «  suler  »  pour  siffler  et  boire  en  aspirant.  La  Saintonge  a  «  sîler  =:  subliâer  »  en  Vendée  pour  siffler,  la  Champ,  a  «  sible  »  et  «  sublet  »  pour  sifflet,  dont  les  équivalents  dans  le  Jura  sont  «  sibiet  »  et  «  subiot.  «  A  Guernesey  le  simple  «  supaîr  »  est  usité  pour  humer  et  le  fréquent.  «  sipotaïr  »  pour  boire  à  petits  coups.  Le  rad.  sip  pour  sib  semble  donc  identique  au  rad.  sup  pour  sub  qui  est  dans  la  forme  connue  subler.  Le  grammairien  Palsgrave  enregistre  sufflet  pour  sifflet.  En  Champ.,  en  Norm.,  en  Poitou,  etc.,  «  super  son  bien  «  c'est  le  manger  peu  à  peu  ou  si  l'on  veut  c'est  le  boire  à  petites  gorgées.  Siffler  la  rostie  ou  la  linotte  dans  le  style  comique  de  l'ancien  théâtre  avait  la  même  valeur,  c'était  s'attabler  pour  boire  ou  manger  :
H.;Saint.;" Maine  :  «  subro,  suberiot  »,  ivrogne;  —  Jura  :  «  subier  »,  siffler;  «  super  »,  humer;  —  Poitou  :  «  subier,  subier  »,  siffler  ;  «  super  »,  su-  cer ;  «  supoter  »,  sucer  longtemps;  —  Saint.  «  subier  »,  siffler;  «  super  »,  siroter;  «  supet,  Bupette  »,  goutte  à  boire.  (Voy.  Sûlot.)"
SÛLOT,;s., m.;s.  m.  Gorge,  gosier,  canal  de  la  respi-  ration. Couper  «  r  sùlô  »  =^  couper  le  sifflet  en  français  ou  couper  la  gorge.  La  chute  du  b  médial  et  le  changement  de  l'e  en  o  donnent  «  sulot  »  pour  siblet  qui  se  trouve  assez  fréquemment  dans  l'anc.  langue  :
SUNGE,;s., m.;"s.  m.  Songe,  rêve  :  «  i  é  fé  eun  béai  sunge  »,  j'ai  fait  un  beau  rêve.  En  Saintonge  «  songhe  »  ;=  somme,  sommeil  :  «  dormir  un  songhe.  »"
SUNGER,;V., a., Bourg.; a.  Songer,  penser  :  «  i  sunge  ç'iai  »,  je  pense  cela.  Berry,  Bourg.  «  sunge  »  et  «  sun-  ger.  »  Forez  :  «  siin  »,  sommeil.
SURI,;V., n., fr.; n.  Aigrir,  tourner  à  l'aigre,  devenir  acide,  sur.  En  fr.  surclle,  surette,  désigne  plusieurs  plantes  qui  sont  acides,  entre  autres  l'oseille  de  bûcheron  ou  alléluia  connue  sous  le  nom  vulgaire  de  pain  de  coucou  (oxalis  acetosella).
SDSCOMBER,;n., fr.;"v.  n.  Succomber.  S'emploie  fré-  quemment au  propre  dans  le  sens  de  tomber  au  dessous  :  le  terrain  est  léger,  il  parviendra  à  «  suscomber  >>  ;  de  cette  hauteur  l'eau  «  suscombe  »  h  terre.  En  vi.  fr.  sus  a  quelquef.  la  même  valeur  que  la  prépos.  de.  Le  Vocab.  du  XVP  siècle  déjà  cité  traduit  le  1.  abigere  par  en  sus  chasser,  chasser  de."
SUSTANCE,;s., f.;s.  f.  Substance,  ce  qui  subsiste,  ce  qui  reste  :  il  a  tout  mangé,  il  n'en  reste  pas  «  sustance  »,  il  n'en  reste  aucune  trace,  aucun  débris.  Palgr.,  -  p.  26,  -  remarque  expressément  que  le  b  dans  substance  disparaît  et  qu'il  faut  prononcer  sustance.
(R.;V.; de  (a  R.,  v.  8174.)  Tuit  s'afublent  de  lor  despueille,  Tretuit  de  lor  Sustances  hument.  Sans  eschauder  tous  viz  les  plument.  {ib.  V.  uni.)  De  Gascoigne  vint  l'abondance  Dont  le  royaume  ot  lors  Sustance.
TABARI,;s., m., fr., fr., dimin.; Bruit,  vacarme.  Notre  mot  est  le  maso,  de  taborie,  subst.  partie,  dérivé  du  vi.  fr.  taborer  ou  tabourer  qui  a  laissé  au  fr.  le  dimin.  tambouriner,  tiré  de  tambour  :
TABILLON,;s., m., Morv., n.;m.  Gros  morceau  détaché  de  quelque  chose  :  un  «  tabillon  »  de  pain,  de  fro-  mage, de  beurre,  de  bois,  de  pierre,  etc.  On  em-  ploie dans  la  même  acception  le  simple  billon.  Morv.  n.  Le  bas  1.  tabula  désignait  aussi  quelquef.  un  fragment,  un  morceau,  une  pièce  :
TABOULEAU,;s., m.;s.  m.  Nom  que  les  enfants  donnent  au  Ijruit  particulier  qu'à  défaut  du  son  des  cloches  on  fait  entendre  dans  les  églises  le  jeudi ,  le  vendredi  et  le  samedi  de  la  semaine  sainte.  Pour  nos  gamins,  «  aller  au  tabouleau  »  est  un  divertissement  plutôt  qu'un  acte  de  dévo-  tion.
TABOULER,;a.;" v.  a.  Paire  du  bruit  en  frappant,  battre  le  tambour.  On  «  taboulé  »  dans  les  villages  les  objets  perdus  ;  on  «  taboulé  »  un  arrêté  du  maire,  une  représentation  théâtrale,  un  déballage  de  marchandises.  Dans  les  petites  villes  le  tam-  bour municipal  remplit  cet  ofïïce  :"
TACOT,;s., m., fr.; s.  m.  Celui  qui  frappe,  qui  cogne  à  petits  coups.  On  emploie  le  mot  comme  sobriquet.  En  fr.  le  tacoul  est  une  pièce  du  mar-  teau de  forge.
TACOTER,;V., n., Norm., Champ., fr.;" l'rapper  h  petits  coups  et  fré-  quemment. Se  dit  d'un  liomme  qui  travaille  avec  mollesse  et  sans  faire  beaucoup  d'ouvrage.  Norm.  u  tacoter  »  =  tapoter;  —  Champ.  «  tacotte  »,  battoir  de  blanchisseuse.  Dans  l'Yonne  «  tacou-  ner  »,  répond  au  fr.  façonner  qui  est  un  terme  à  l'usage  des  typographes.  Le  rouchi  «  taconer  »  signifie  rapiécer  les  souliers  en  y  ajustant  des  morceaux  de  cuir  nommés  «  tacons.  »  Ces  pièces  figurent  dans  l'ital.  laccone,  bout  de  soulier  ;  rat-  laconnare,  mettre  des  bouts  aux  souliers  :"
TAICHE,;s., f., n., Bourg.;f.  Tache.  Morvan  n.  «  taice.  »  Bourg.  «  taiche,  teiche.  »
TAICHER,;V., a., Morv., n.;a.  Tacher,  salir.  Morv.  n.  <(  tai-  cer,  taiher.  d
TAICHON,;s., m., Champ., fr.;m.  Blaireau,  taisson.  En  Champ.  «  tachon.  »  Suisse  rom.  «  tasson,  tesson  et  tas-  sounaire  »,  terrier  de  blaireau.  Tasson  est  dans  lo  vi.  fr.  :
TAICI,;interj.; interj.  dont  on  se  sert  pour  contenir  un  chien  prêt  à  s'élancer.
TAIHI,;V., a., Morv., n.;a.  Tarir,  dessécher.  Morv.  n.  n.-o.  Chute  de  l'r  médial.  (^'oy.  Aitairi.)
TAINER,;V., n., Morv., n.;n.  Etre  essoufflé,  oppressé  par  excès  de  fatigue  ou  par  une  marche  rapide  :  «  1  taine,  te  taines,  a  taine.  »  Ce  travail  est  pénible,  il  me  fait  «  tainer.  »  Morv.  n.  Le  sens  au  fond  est  le  même  que  dans  le  verbe  composé  «  aitainer  »  seul  usité  dans  la  région  bourg,  où  il  ne  s'emploie  qu'au  figuré.  L'idée  de  fatigue  est  dans  les  deux  acceptions.  Se  trouve-t-elle  encore  dans  le  subst.  attaine  (|ui  semble  être  le  nom  verbal.de  attai-  ner  ?
TAISER,;V., a.;V.  a.   Taire,   garder   le  silence.    Peu
TAITOUNOU,;adj.; OUSE,  adj.  Tâtonneur,  celui  qui  tâtonne,  qui  hésite  beaucoup  avant  de  prendre  une  détermination.
TAIVIN,;s., m., fr.;" m.  Taon,  grosse  mouche  qui  s'at-  tache particulièrement  aux  bœufs,  aux  chevaux.  Plusieurs  prononcent  «  ataivin.  »  En  quelques  lieux  «  taibin.  »  Dans  Papias  :  Tabanus,  animal  modicum  armentis  aculeo  permolestum.  (Duc.  Tabœ.)  En  vi.  fr.  tavan,  taon  ;  tavaner,  bourdon-  ner :"
TAJER;V., réfl., Morv., n.;V.  réfl.  Se  taire,  garder  le  silence.  Morv.  n.  t^'oy.  Taiser.)
TALEU,;m., Morv., n.; m.  Morceau  de  bois  qu'on  attache  au  cou  des  oies  pour  les  entraver  et  les  empêcher  ainsi  de  pénétrer  dans  les  terres  ensemencées.  Morv.  n.  En  Forez  «  talot  »,  bâton  suspendu  à  une  corde  avec  lequel  on  entrave  les  vaches  ou  les  porcs.  Berry  :  «  lallet  »,  bâton  de  chaise,  d'é-  chelle, etc.
TALIPOX,;s., m., fr.;" m.  Tapon,  tas,  amas  de  choses  en  désordre.  Un  drap  qu'on  ramasse  sans  le  plier  est  «  en  talipon  »  comme  le  linge  sale  qu'on  donne  aux  blanchisseuses.  Le  mot  semble  identique  au  fr.  tapon  qui  a  fourni  un  verbe  taponner  qu'em-  ploie M""""""  de  Sévigné  :"
TALITALA,;loc.; loc.  Comme  ci,  comme  çà  :  aimez-
TALÔPE,;s., f., fr.;" s.  f.  Balle  dont  les  en-  fants se  servent  dans  leurs  jeux  :  une  belle  «  ta-  lôpe  »  ;  jouer  à  la  «  talôpe.  »  On  prononce  taloupe  à  la  ville.  En  Berry  «  talope  »  s'applique  à  une  agglomération  de  farine  humide,  à  un  petit  amas,  à  un  petit  tas.  Pelote  qui  en  vi.  fr.  désignait  également  une  balle  d'enfant  est  aussi  usitée  en  Berry  pour  tas,  amas.  Le  rom.  in^ow pelota,  pilota,  signifie  tantôt  balle,  paume,  tantôt  pile,  masse,  tas.  Comp.  avec  «  taroupe  »  qui  dans  le  Maine  est  une  bosse  chancreuse  de  certains  arbres  ou  un  paquet  de  filasse.  M.  Jaubert  rapproche  «  talope  »  et  «  tapée  »  dans  l'acception  de  petit  amas."
TALPON,;s., m.;s.  m.  Tapon,  tas,  amas,  paquet,  masse  confuse  :  jeter  ses  vêtements  «  en  talpon.  »  La  présence  de  l'I  médial  rappelle  le  nom  d'une  coiffure  que  les  femmes  de  Metz  portaient  au  XVIP  siècle.  Le  talpe  n'était  peut-être  qu'un  «  talpon  »  d'étoffe  plus  ou  moins  artistement  ar-  rangé, une  espèce  de  turban  suivant  la  conjecture  de  Le  Duchat.  (Voy.  Talipon.)
TAMOYEN,;interj.; TANMOYEN,  interj.  qui  exprime  la  surprise,  le  doute.  C'est  quelquefois  une  sorte  d'interrogation  :  vraiment?  est-ce  possible?  Le  mot  est  probablement  une  syncope  de  tant  moyen  ?  Cette  interjection  est  fort  usitée.  Les  Romains  avaient  l'exclam.  tam  wagnus!  pour  exprimer  l'admiration.
TAN;interj., fr., esp.;" interj.  qui  a  un  sens  négatif  et  qui  équi-  vaut à  peu  près  au  fr.  bah!  :  «  tan,  que  v'ié-vô  qui  v'zen  diâ  !  «  bah  !  que  voulez-vous  que  je  vous  en  dise  ;  c'est  lui  qui  vous  a  volé  :  «  tan  !  »  est-ce  possible?  En  esp.  tan  est  une  conj.  compar.  =  aussi,  autant."
TAN,;s., f., loc.; f.  Fois.  Usité  dans  plusieurs  loc.  :  «  ai  tan  »  =  à  cette  fois.
(GUILL.;V.;  GUIART,    V.    3238.)
TANCOT,;s., m.;s.  m.  Racine  de  genêt  ou  autre  ar-  buste qui  sort  de  terre,  ce  qui  reste  en  saillie  sur  le  sol  d'un  vcgétal  coupù.
TANER,;V., a., Morv., n., fr.; Tracasser,  tourmenter,  fatiguer  par  des  importunités.  Le  part.  prés,  tanant  s'em-  ploie adjectiv.  :  un  homme  «  tanant  »,  une  femme  «  fanante.  »  Morv.  n.  En  vi.  fr.  taner,  tanner  Dans  la  complainte  qui  porte  son  nom,  Rutebeuf  se  plaignant  de  ses  nombreuses  disgrâces,  peut-être  un  peu  méritées,  dit  piteusement  :
TANGNAU,;adj.; AUDE,  adj.  Lambin,  musard.  Se  dit  d'un  individu  qui  s'attarde  par  esprit  de  mi-  nutie.
TANGNÉRE,;s., f., fr., anc.;"f.  Tanière,  retraite,  refuge  pour  les  hommes  ou  les  animaux,  lieu  oij  l'on  se  cache,  où  l'on  s'abrite.  Ménage  voit  dans  tanière  une  con-  traction de  taissonnière,  trou  où  se  blottit  le  tais-  son  ou  blaireau.  Le  vi.  fr.  avait  le  primitif  tais,  -  en  rom.  prov.  taysch,  -  d'où  sortent  les  dérivés  taisson  et  tanière  écrit  d'abord  taisnière.  Ce  pri-  mitif figure  assez  souvent  dans  les  noms  de  lieu.  Thaix,  c°'  de  Fours,  a  eu  pour  anc.  formes  Tays,  Taiz  et  Tas.  La  Bretagne  compte  un  certain  nombre  de  localités  qui  portent  la  même  dénomination  :  le  Tay,  le  Tey,  le  Thay,  le  Thaix.  La  c""""  d'Azy-  le-Vif  avait  une  garenne  dite  de  la  Tessonne.  D'un  autre  côté  on  rencontre  la  Tagnière,  la  Tagnerette  dans  Saône-et-Loire.  Le  domaine  de  la  Tanière,  près  de  Luzy,  dans  la  Nièvre,  est"
TANSEIPSÔ,;loc., Morv., n., loc.;Tant  soit  peu.  S'emploie  substantiv.  :  «  ain  tanseipsô  »,  un  tant  soit  peu.  Morv.  n.  La  loc.  se  compose  de  trois  mots  soudés  dans  le  langage  usuel  :  tant,  «  sei  »  pour  soit,  «  p'sô  »  ou  «  p'ço  »  pour  peu.  Le  dernier  mot  est  un  adoucissement  du  bourg.  «  p'chô.  «  (Voyez  P'chot.)
TANT,;adj.; TANTE,  adj.  Tant,  autant,  en  aussi  urande  quantité  :  «  i  f'ré  ç'iai  tantes  foués  qu'vô  vourâ  »,  je  ferai  cela  autant  de  fois  que  vous  voudrez.
TANTINOT,;s., m., fr., dimin.;m.  Chicot  qui  demeure  au  tronc  d'un  arbre  après  l'élagage  des  branches.  En  fr.  tantet  et  tantinet  sont  des  dimin.  de  tant,  mais  le  mot  pourrait  avoir  une  autre  origine.  Comp.  avec  le  forczien  «  tan  »,  noeud  de  bois.  Cependant  au  fig.  le  sens  de  brin  est  dans  le  suisse  rom.  «  tan-  tenet  »  et  dans  l'ital.  iantino.
TAPANTE,;s., f., c.-à-d.;" f.  Pomme  de  terre  qui  tape  ou  crève  en  cuisant,  c.-à-d.  qui  se  fend  sous  l'action  du  feu.  Le  mot  est  quelquef.  usité  comme  sobri-  quet. Ainsi  dit-on  ironiquement  les  «  tapans  »  de  Champ-Comeau,  c'""  d'AlIigny.   (Voy.  Taper.)"
TAPEREAI,;s., m., fr.; m.  Digitale  pourprée  (digitalis  }mrpurca)  extrêmement  commune  dans  le  pays.  Les  enfants  s'en  servent  pour  un  amusement  qui  consiste  à  produire  du  bruit  en  frappant  sur  la  fleur  lorsqu'on  l'a  soufflée  en  ballon.  Le  mot  est  une  forme  locale  de  «  tapereau  »  qui,  comme  «  ta-  peret  »  en  Champ,  et  «  taperelle  »  en  Bourg.,  désigne  un  petit  canon  de  sureau  ou  un  pétard.  On  peut  voir  dans  les  Curiosités  de  l'étym.  fr.  de  M.  Nisard  la  description  du  tapereau,  de  la  taperelle  et  même  du  taperillot.  Taper  a  chez  nous  comme  en  Bourgogne  le  sens  de  crever  avec  ou  sans  bruit.  On  dit  d'une  mine  qui  fait  explosion  comme  d'un  abcès  qui  perce  qu'ils  «  tapent.  <>  (Voy.  Gant,  Taqiiot.)
TAPERIAU,;s., m., Morv., b.;m.  Traquet,  oiseau  du  genre  des  becflgues  qui  fait  un  bruit  semblable  à  un  tapement  en  agitant  sa  queue  et  ses  ailes.  Le  Morv.  b.  le  nomme  aussi  l'oiseau  du  chaud,  parce  qu'il  se  montre  surtout  dans  les  belles  soirées  d'été.  Genève  :  «  tapet  »,  traquet  et  babillard.
TAPETTE,;s., f.;s.  f.  Langue  babillarde.  Il  y  a  un  peu  partout  de  ces  «  tapettes  »  là.  La  Suisse  rom.  dit
TAPINAUDE,;s., f.;s.  f.  Grosse  galette  sur  laquelle  on  met  une  couche  de  pommes  de  terre,  d'épi-  nards  ou  autres  légumes  du  même  genre.-  Le  suffixe  aude  est  péjoratif  et  indique  une  pâte  grossière.
TAPINE,;s., f., fréquent.; f.  Galette  commune  fabriquée  avec  un  mélange  de  farine  et  de  pommes  de  terre.  De  tape  par  allusion  à  une  confection  non  raffinée.  En  rouchi,  «  donner  le  tapin  »  c'est  battre  sans  ménagement.  En  Berry,  le  «  taperiau  »  est  un  gâteau  de  fleur  de  farine  oi!i  sont  renfermés  des  fruits.  «  Toucher  »  en  comtois  semble  répondre  à  «  taper  »  dans  une  acception  semblable.  La  région  de  Montbéliard  a  «  toutchi  »  pour  toucher,  et  le  fréquent.  «  toutcheler  »  pour  faire  souvent  des  gâteaux.  Le  «  toutchelu  »  ou  la  «  toutcheluse  »  est  celui  ou  celle  qui  a  le  maniement  fréquent  de  la  pâtisserie.
TAPINER,;a., fr.;v.  a.  Toucher  en  pressant,  tripoter,  tenir  dans  ses  mains  avec  vivacité  et  continuité.  Ce  terme  signifie  quelquef.  trépigner  en  Nivernais.  Il  a  chez  nous  la  même  signifie,  que  patiner  en  fr.  Au  reste  Burguy  dérive  taper,  dont  «  tapiner  »  est  le  diminutif,  du  bas-allem.  fapp  =  patte.  Le  fo-  rézien  «  tapau  »  pour  pataud,  lourdaud,  vient  à  l'appui.  «  Tapiner  »  serait  donc,  par  transposition,  identique  à  patiner.  Dans  un  dialecte  lombard  «  tapinà  »  signifie  marcher  à  petits  pas.  (1)
(I);rad., ital., fr.; des  deux  rad.  tap  et  pat  pour  exprimer  l'action  de    la  patte,  main  ou  pied,  se  montre  avec  précision   dans  ce  mot   provincial  ital.  «  tapinà  »,  prononcé  «  tapinàr  »  à  Venise,  et  renfermant  le  double  sens  de  marcher  à  petits  pas  ou  de  fou-  ler aux  pieds   à  peu   près  comme  le  fr.  piétiner.  Elle  n'est  pas  moins    évidente   dans  l'allem.  tappe,  coup  de  patte,  et  tappen,  marcher   en    tâtonnant.  Elle  explique  l'anc.  locution  à   tapin,  à  tapine,  qui  signifia  d'abord  à  petits  pas,  à  pas  couverts,  secrets  :  En  Jérusalem  vout  aler,  Nuz  piez,  en  langes,  à  Tapin,  Cum  funt  autre  saint  pèlerin.
TAPOU,;s., m., Gloss.; m.  Palette  de  bois  à  manche  avec  lequel  on  bat  le  linge,  battoir.  En  quelques  lieux  »  tapois.  »  Le  Gloss.  du  Contre  attribue  «  tapoué  »  ([ui  représenterait  tapoir,  au  Nivernais.  En  basque  lliapou  =  tampon.
TAPOUILLÂ,;s., m., Morv., n.;m.  Se  dit  d'une  souillure,  d'une  grosse  tache  sur  la  table,  sur  une  nappe,  tache  de  sauce,  d'huile,  etc.,  répandues  par  mala-  dresse. Morv.  n.  n.-o.  Le  mot  est  une  variante  par  mctathèse  de  «  palouillâ  »,  tiré  de  patte  et  de  touille.  (Voy.  Patouéillal,  Touailler.)
TAQUE,;s., f., fr., Pic.;f.  Plaque  :  la  «  taque  »  du  feu.  Cette  plaque  en  fonte  est  adossée  à  la  muraille.  Le  mot  est  fr.  mais  peu  usité  dans  le  langage  parisien.  Le  wallon  (Mons)  dit  «  tap  de  feu  »,  derrière  de  cheminée.  A  Liège  «  sitouf  à  tak  »,  ))oële  de  placjues  de  fer.  En  Pic.  «  take  »,  contre-  cœur de  cheminée  et  tache,  souillure.  L'ital.  facca  se  dit  d'une  chose  taillée,  d'une  entaille  et  aussi  d'une  tache,  d'une  brèche  au  propre  et  au  figuré.  Taque  semble  être  le  primitif  de  tacon  qui  désigne  une  pièce  de  rapport  ou  un  objet  attaché  à.  (Voy.  Taiche,  Teiche.)
TAQUE,;adj.; E,  adj.  Se  dit  principalement  du   pain
TAQUELETTE,;s., f.;"s.  f.  Os  de  forme  plate  qui  sert  de  castagnette  aux  enfants  des  campagnes.  En  Espagne  les  castagnettes  rustiques  sont  nommées  terreiîas,  probablement  parce  qu'à  l'origine  elles  étaient  faites  avec  des  fragments  de  poterie  (tarro,  pot,  terrine).  La  Suisse  rom.  a  «  traqueletta,  ta-  kenetta  »,  pour  cliquette,  castagnette.  Le  mot  se  rattache  évidemment  dans  cette  région  au  verbe  ""  takena  »,  frapper  de  petits  coups.  Les  formes  patoises  «  taqueler  »  et  «  taquener  »  sont  des  di-  minutifs de  «  taquer.  »  Le  comtois  «  toquote  »,  castagnette,  sort  de  la  forme  toquer  ;=  taquer;  «  toquoter,  taquater  »,  se  servir  de  castagnettes.  (Voy.  Tacoter.)"
TAQUER,;V., n., dimin., fr.;"n.  Le  tisserand  «  taque  »  sa  toile  lorsqu'il  en  prépare  le  tissu.  Le  mot  a  le  sens  de  battre,  fouler,  tasser.  Dans  l'Yonne  «  taquer  »  les  échalas  de  vigne  c'est  les  enfoncer  à  coup  de  maillet.  Berry  :  «  taquer  »,  battre,  cogner,  tasser;  —  Vosges  :  «  laquer  »,  frapper.  La  Lorraine  a  les  deux  formes  «  taquer  »  et  «  toquer  »  pour  heur-  ter. Le  suisse  rom.  «  takka  » ,  frapper,  heurter  et  babiller,  a  pour  dimin.  l'ital.  taccolare  dans  la  dernière  acception  et  probablement  môme  le  fr.  taquiner  qui  a  d'abord  signifié  frapper  à  petits  coups  comme  le  prov.  «  tacar.  »  Taquer  et  toquer  sont  deux  formes  tirées  de  la  même  étymoi.  que  Diez,  avec  peu  de  vraisemblance,  dit  être  le  h.  -  allem.  zuchôn,  représenté  par  zucken  dans  l'allem.  moderne.  La  racine  grecque  et  latine  tac,  tag,  revendique  selon  nous  ces  rejetons  qu'on  peut  rapprocher  de  l'anglais  to  tahe,  saisir,  et  du  flamand  takhen,  ébrancher,  au  sens  de  frapper  souvent.  (Voy.  Toquer.)"
TAQUEURE,;s., f.;s.  f.  Se  dit  de  la  toile  qui  a  été  «  laquée  »  par  le  tisserand.
TAQUOT,;s., m., Morv., n.;m.  Digitale  pourprée.  Morv.  n.  En  Berry, ,«  toquots  »  ou  «  gants  de  bargère.  »  (Voy.  Gant,  Tapereai.)
TARAUDER,;a., Morv., n.; a.  Battre  quelqu'un.  Morv.  n.
TARESSE,;s., f., n.; f.  Terrine,  vase  de  poterie.  Mor-  van  n.
TARESSOUNÉE,;s., f.;s.  f.  Une  pleine  terrine,  une  terrine  remplie  jusqu'au  bord.  Berry  :  «  terras-  sée »,  une  (c  terrassée  »  de  soupe.  Le  bas  1.  ter-  rassonus  est  un  augmentât,  de  terrasse.  (Voy.  Pénerée.)
TARIBARI;loc., fr., Morv., n., loc., fr., c.-à-d.; connu  en  fr.  sous  le  nom  de  colin-maillard.  Morv.  n.  Cette  loc.  représente  peut-être  le  vi.  fr.  à  taborie,  c.-à-d.  à  grand  bruit  de  voix  ou  de  pieds.  Froissart  dit  terribouris  dans  cette  acception  :
